latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.24407,131.34482,374.18,1.02,1.01,2025-03-11,0037,T,100,6.1NRT,299.36,119.45,D
-21.0165,134.12056,327.09,1.41,1.18,2025-03-11,0037,T,61,6.1NRT,309.52,14.02,D
-21.04435,134.03024,377.83,1.4,1.17,2025-03-11,0037,T,100,6.1NRT,314.19,208.42,D
-21.04593,134.04344,357.9,1.4,1.17,2025-03-11,0037,T,98,6.1NRT,315.47,104.3,D
-21.05471,134.02887,338.03,1.4,1.17,2025-03-11,0037,T,82,6.1NRT,311.21,37.32,D
-21.05631,134.04208,334.56,1.4,1.17,2025-03-11,0037,T,78,6.1NRT,312.72,28.67,D
-21.98623,131.61516,328.25,1.07,1.03,2025-03-11,0037,T,73,6.1NRT,311.27,11.05,D
-21.98758,131.62535,325.86,1.08,1.04,2025-03-11,0037,T,68,6.1NRT,310.03,8.21,D
-21.97228,131.37016,331.78,1.05,1.03,2025-03-11,0037,T,67,6.1NRT,307.99,17.26,D
-21.97362,131.38016,327.86,1.06,1.03,2025-03-11,0037,T,35,6.1NRT,307.5,9.97,D
-22.0005,131.58186,350.43,1.07,1.03,2025-03-11,0037,T,94,6.1NRT,309.97,52.04,D
-22.00185,131.59203,349.67,1.07,1.03,2025-03-11,0037,T,94,6.1NRT,310.13,50,D
-21.98135,131.36877,329.2,1.05,1.03,2025-03-11,0037,T,66,6.1NRT,306.11,14.84,D
-22.01067,131.51825,330.23,1.07,1.03,2025-03-11,0037,T,61,6.1NRT,309.58,12.43,D
-22.01202,131.52838,331.73,1.07,1.03,2025-03-11,0037,T,71,6.1NRT,310.56,13.66,D
-22.0022,131.38603,330.74,1.06,1.03,2025-03-11,0037,T,77,6.1NRT,307.09,16.73,D
-22.033,131.54591,342.61,1.07,1.03,2025-03-11,0037,T,89,6.1NRT,310.9,32.69,D
-22.03804,131.51413,328.82,1.07,1.03,2025-03-11,0037,T,42,6.1NRT,308.21,11.92,D
-22.04077,131.53439,361.95,1.07,1.03,2025-03-11,0037,T,100,6.1NRT,309.55,81.56,D
-22.04214,131.54454,346.11,1.07,1.03,2025-03-11,0037,T,91,6.1NRT,308.8,40.91,D
-22.03623,131.43193,332.96,1.06,1.03,2025-03-11,0037,T,80,6.1NRT,306.84,16.39,D
-22.0376,131.44206,328.46,1.06,1.03,2025-03-11,0037,T,29,6.1NRT,308.45,9.75,D
-22.04717,131.51276,337.84,1.07,1.03,2025-03-11,0037,T,85,6.1NRT,306.85,26.95,D
-22.04854,131.52289,326.13,1.07,1.03,2025-03-11,0037,T,59,6.1NRT,306.26,9.44,D
-22.04125,131.40056,324.58,1.06,1.03,2025-03-11,0037,T,55,6.1NRT,306.85,9.6,D
-22.04261,131.41057,332.48,1.06,1.03,2025-03-11,0037,T,79,6.1NRT,308.06,19.37,D
-22.04808,131.45079,339.29,1.06,1.03,2025-03-11,0037,T,82,6.1NRT,309.45,27.88,D
-22.04944,131.46088,343.8,1.06,1.03,2025-03-11,0037,T,90,6.1NRT,310.53,37.02,D
-22.05081,131.47096,327.06,1.06,1.03,2025-03-11,0037,T,38,6.1NRT,307.89,10.3,D
-22.05133,131.41302,337.84,1.06,1.03,2025-03-11,0037,T,79,6.1NRT,307.3,27.28,D
-22.05668,131.45328,336.57,1.06,1.03,2025-03-11,0037,T,83,6.1NRT,306.82,25.72,D
-22.05801,131.46336,335.74,1.06,1.03,2025-03-11,0037,T,83,6.1NRT,307.61,23.91,D
-24.10338,128.71895,324.84,1.01,1,2025-03-11,0037,T,49,6.1NRT,306.83,10.03,D
-24.10482,128.72867,325.97,1.01,1,2025-03-11,0037,T,62,6.1NRT,308.09,10.73,D
-24.11226,128.71741,334.93,1.01,1,2025-03-11,0037,T,81,6.1NRT,302.37,22.82,D
-24.11371,128.72713,334.93,1.01,1,2025-03-11,0037,T,84,6.1NRT,305.81,22.01,D
-23.38477,121.21957,324.33,2.8,1.6,2025-03-11,0037,T,73,6.1NRT,301.6,56.77,D
-23.38831,121.21265,319.05,2.8,1.6,2025-03-11,0037,T,25,6.1NRT,301.46,28.48,D
-23.39359,121.23856,322.93,2.79,1.6,2025-03-11,0037,T,62,6.1NRT,302.14,44.93,D
-24.30702,125.7232,321.85,1.31,1.14,2025-03-11,0037,T,70,6.1NRT,304.68,9.52,D
-24.30911,125.73574,375.15,1.31,1.14,2025-03-11,0037,T,100,6.1NRT,307.82,180.21,D
-24.3112,125.74831,325.29,1.31,1.13,2025-03-11,0037,T,75,6.1NRT,305.27,13.85,D
-24.23491,123.2538,326.8,1.91,1.35,2025-03-11,0037,T,77,6.1NRT,303.55,36.67,D
-32.20467,19.07505,319.63,1.01,1,2025-03-11,0054,A,99,6.1NRT,290.03,17.95,N
-32.2103,19.05224,308.42,1.01,1,2025-03-11,0054,A,59,6.1NRT,290.39,8.5,N
-32.21194,19.06284,336.31,1.01,1,2025-03-11,0054,A,100,6.1NRT,292.71,38.14,N
-32.22083,19.06121,315.05,1.01,1,2025-03-11,0054,A,69,6.1NRT,289.27,12.84,N
-32.22969,19.05924,338.62,1.01,1,2025-03-11,0054,A,100,6.1NRT,291.62,41.52,N
